br_class,mode,case_id,z1,z2,z3,rdx,rdy,rdz,cgx,cgy,cgz,devx,devy,devz,placed,unplaced,elapsed,timestamp_utc,run_id
BR0,six_way,100,0.666366,55.0,18.666667,7.3005,15.8798,14.5455,273.0,98.0,94.0,21.5,18.5,16.0,112,55,0.077514,2025-12-25T16:23:45.995282Z,20251225_162345.995282_seed0_six_way
BR0,C1_respect,1,0.856355,17.0,10.666667,8.3192,2.1459,4.5455,270.0,114.0,105.0,24.5,2.5,5.0,105,17,0.040853,2025-12-25T16:23:46.038324Z,20251225_162346.038324_seed0_C1_respect
BR0,C1_respect,2,0.920206,89.0,3.166667,0.1698,3.4335,4.5455,294.0,112.5,105.0,0.5,4.0,5.0,1080,89,15.58009,2025-12-25T16:24:01.623378Z,20251225_162401.623378_seed0_C1_respect
BR0,C1_respect,3,0.674525,45.0,13.666667,1.1885,30.4721,1.8182,291.0,81.0,108.0,3.5,35.5,2.0,96,45,0.030064,2025-12-25T16:24:01.662856Z,20251225_162401.662856_seed0_C1_respect
BR0,C1_respect,4,0.681769,27.0,15.833333,4.0747,21.03,10.0,282.5,92.0,99.0,12.0,24.5,11.0,60,27,0.013726,2025-12-25T16:24:01.680484Z,20251225_162401.680484_seed0_C1_respect
BR0,C1_respect,5,0.797977,32.0,10.217949,2.7556,8.6167,11.3636,286.3846,106.4615,97.5,8.1154,10.0385,12.5,130,32,0.085606,2025-12-25T16:24:01.768608Z,20251225_162401.768608_seed0_C1_respect
BR0,C1_respect,6,0.710625,26.0,14.287879,4.0284,8.5057,19.1736,282.6364,106.5909,88.9091,11.8636,9.9091,21.0909,66,26,0.025912,2025-12-25T16:24:01.797209Z,20251225_162401.797209_seed0_C1_respect
BR0,C1_respect,7,0.692848,19.0,21.984848,11.3598,17.4405,11.0744,261.0455,96.1818,97.8182,33.4545,20.3182,12.1818,44,19,0.008512,2025-12-25T16:24:01.808729Z,20251225_162401.808729_seed0_C1_respect
BR0,C1_respect,8,0.763753,28.0,9.709677,1.287,0.7199,22.2727,290.7097,115.6613,85.5,3.7903,0.8387,24.5,93,28,0.053874,2025-12-25T16:24:01.864777Z,20251225_162401.864777_seed0_C1_respect
BR0,C1_respect,9,0.709873,21.0,17.166667,8.3192,9.8712,14.0909,270.0,105.0,94.5,24.5,11.5,15.5,54,21,0.015409,2025-12-25T16:24:01.883256Z,20251225_162401.883256_seed0_C1_respect
BR0,C1_respect,10,0.774159,48.0,13.833333,7.6401,15.0215,1.3636,272.0,99.0,108.5,22.5,17.5,1.5,168,48,0.132953,2025-12-25T16:24:02.018403Z,20251225_162402.018403_seed0_C1_respect
BR0,C1_respect,11,0.678173,33.0,13.083333,0.2759,17.1137,16.8182,295.3125,96.5625,91.5,0.8125,19.9375,18.5,72,33,0.030353,2025-12-25T16:24:02.051596Z,20251225_162402.051596_seed0_C1_respect
BR0,C1_respect,12,0.717405,19.0,12.953333,3.7012,5.2532,19.8545,283.6,110.38,88.16,10.9,6.12,21.84,50,19,0.022066,2025-12-25T16:24:02.085764Z,20251225_162402.085764_seed0_C1_respect
BR0,C1_respect,13,0.818438,114.0,9.0,2.8862,7.2961,9.0909,286.0,108.0,100.0,8.5,8.5,10.0,528,114,2.628025,2025-12-25T16:24:04.717383Z,20251225_162404.717383_seed0_C1_respect
BR0,C1_respect,14,0.898158,29.0,6.699005,3.2689,5.9381,3.2293,284.8731,109.5821,106.4478,9.6269,6.9179,3.5522,268,29,0.482503,2025-12-25T16:24:05.206219Z,20251225_162405.206219_seed0_C1_respect
BR0,C1_respect,15,0.781859,39.0,9.775862,1.3407,6.7634,15.9091,290.5517,108.6207,92.5,3.9483,7.8793,17.5,145,39,0.123607,2025-12-25T16:24:05.333597Z,20251225_162405.333597_seed0_C1_respect
BR0,C1_respect,16,0.722075,123.0,14.666667,5.0934,14.1631,11.3636,279.5,100.0,97.5,15.0,16.5,12.5,325,123,1.009199,2025-12-25T16:24:06.346707Z,20251225_162406.346707_seed0_C1_respect
BR0,C1_respect,17,0.916117,19.0,4.833333,2.2071,1.7167,5.4545,288.0,114.5,104.0,6.5,2.0,6.0,224,19,0.324364,2025-12-25T16:24:06.675659Z,20251225_162406.675659_seed0_C1_respect
BR0,C1_respect,18,0.875274,21.0,6.80303,2.8399,6.0476,4.5455,286.1364,109.4545,105.0,8.3636,7.0455,5.0,154,21,0.116274,2025-12-25T16:24:06.793017Z,20251225_162406.793017_seed0_C1_respect
BR0,C1_respect,19,0.892842,44.0,5.875,2.1116,4.6406,5.4545,288.2812,111.0938,104.0,6.2188,5.4062,6.0,384,44,1.112274,2025-12-25T16:24:07.911794Z,20251225_162407.911794_seed0_C1_respect
BR0,C1_respect,20,0.88167,7.0,5.166667,1.1885,0.8584,10.0,291.0,115.5,99.0,3.5,1.0,11.0,54,7,0.015167,2025-12-25T16:24:07.931817Z,20251225_162407.931817_seed0_C1_respect
BR0,C1_respect,21,0.725219,11.0,15.833333,7.4703,20.1717,1.8182,272.5,93.0,108.0,22.0,23.5,2.0,30,11,0.004842,2025-12-25T16:24:07.944472Z,20251225_162407.944472_seed0_C1_respect
